d a r R i I h H t T P p
4.2341065e+00 5.1239640e+00 4.2341065e+00 5.1239640e+00 4.2341065e+00 5.1239640e+00 4.2341065e+00 5.1239640e+00 4.2341065e+00 5.1239640e+00 0.0000000e+00 0.0000000e+00
4.2904594e+00 5.1474945e+00 4.2904594e+00 5.1474945e+00 4.2904594e+00 5.1474945e+00 4.2904594e+00 5.1474945e+00 4.2904594e+00 5.1474945e+00 6.9078000e+00 6.9078000e+00
4.2484952e+00 4.0073332e+00 4.2484952e+00 4.0073332e+00 4.2484952e+00 4.0073332e+00 4.2484952e+00 4.0073332e+00 4.2484952e+00 4.0073332e+00 0.0000000e+00 0.0000000e+00
4.3040651e+00 4.0775374e+00 4.3040651e+00 4.0775374e+00 4.3040651e+00 4.0775374e+00 4.3040651e+00 4.0775374e+00 4.3040651e+00 4.0775374e+00 6.9078000e+00 6.9078000e+00
4.2626799e+00 4.0943446e+00 4.2626799e+00 4.0943446e+00 4.2626799e+00 4.0943446e+00 4.2626799e+00 4.0943446e+00 4.2626799e+00 4.0943446e+00 0.0000000e+00 0.0000000e+00
4.3174881e+00 4.1588831e+00 4.3174881e+00 4.1588831e+00 4.3174881e+00 4.1588831e+00 4.3174881e+00 4.1588831e+00 4.3174881e+00 4.1588831e+00 6.9078000e+00 6.9078000e+00
4.3567088e+00 4.4067192e+00 4.3567088e+00 4.4067192e+00 4.3567088e+00 4.4067192e+00 4.3567088e+00 4.4067192e+00 4.3567088e+00 4.4067192e+00 0.0000000e+00 0.0000000e+00
4.4067192e+00 4.4543473e+00 4.4067192e+00 4.4543473e+00 4.4067192e+00 4.4543473e+00 4.4067192e+00 4.4543473e+00 4.4067192e+00 4.4543473e+00 6.9078000e+00 6.9078000e+00
4.4308168e+00 4.0253517e+00 4.4308168e+00 4.0253517e+00 4.4308168e+00 4.0253517e+00 4.4308168e+00 4.0253517e+00 4.4308168e+00 4.0253517e+00 0.0000000e+00 0.0000000e+00
4.4773368e+00 4.0943446e+00 4.4773368e+00 4.0943446e+00 4.4773368e+00 4.0943446e+00 4.4773368e+00 4.0943446e+00 4.4773368e+00 4.0943446e+00 6.9078000e+00 6.9078000e+00
